x, y
0.594059405940594, 0.21994134897360706
1.6336633663366336, 0.5425219941348974
3.7128712871287126, 0.9824046920821115
4.900990099009901, 1.466275659824047
6.683168316831683, 1.964809384164223
8.316831683168317, 2.4780058651026393
9.207920792079207, 2.932551319648094
10.693069306930692, 3.4750733137829912
11.138613861386139, 3.9589442815249267
11.732673267326732, 4.384164222873901
12.178217821782178, 4.926686217008798
11.732673267326732, 5.395894428152493
11.584158415841584, 5.93841642228739
10.693069306930692, 6.422287390029326
10.247524752475247, 6.935483870967742
9.504950495049505, 7.4046920821114375
7.7227722772277225, 7.8885630498533725
6.534653465346534, 8.416422287390029
5.198019801980198, 8.665689149560118
4.603960396039604, 9.017595307917889
