19207,-291.554588124828
19208,-291.5546166176502
19209,-291.5546451093256
19210,-291.55467359985414
19211,-291.55470208923555
19212,-291.55473057746974
19213,-291.5547590645563
19214,-291.5547875504951
19215,-291.554816035286
19216,-291.5548445189288
19217,-291.5548730014231
19218,-291.5549014827689
19219,-291.5549299629659
19220,-291.5549584420139
19221,-291.5549869199126
19222,-291.55501539666193
19223,-291.55504387226154
19224,-291.5550723467113
19225,-291.555100820011
19226,-291.55512929216036
19227,-291.55515776315923
19228,-291.55518623300736
19229,-291.5552147017046
19230,-291.5552431692506
19231,-291.5552716356453
19232,-291.5553001008883
19233,-291.55532856497956
19234,-291.5553570279188
19235,-291.55538548970577
19236,-291.55541395034027
19237,-291.555442409822
19238,-291.555470868151
19239,-291.55549932532676
19240,-291.5555277813492
19241,-291.5555562362181
19242,-291.5555846899333
19243,-291.5556131424944
19244,-291.5556415939013
19245,-291.55567004415377
19246,-291.5556984932516
19247,-291.55572694119456
19248,-291.5557553879824
19249,-291.55578383361495
19250,-291.55581227809193
19251,-291.5558407214132
19252,-291.55586916357845
19253,-291.55589760458747
19254,-291.5559260444401
19255,-291.555954483136
19256,-291.55598292067515
19257,-291.5560113570571
19258,-291.5560397922818
19259,-291.55606822634894
19260,-291.5560966592584
19261,-291.5561250910097
19262,-291.5561535216029
19263,-291.55618195103756
19264,-291.55621037931365
19265,-291.55623880643077
19266,-291.5562672323888
19267,-291.55629565718755
19268,-291.5563240808267
19269,-291.556352503306
19270,-291.55638092462533
19271,-291.55640934478447
19272,-291.55643776378304
19273,-291.5564661816209
19274,-291.556494598298
19275,-291.5565230138138
19276,-291.5565514281681
19277,-291.55657984136104
19278,-291.556608253392
19279,-291.5566366642609
19280,-291.5566650739675
19281,-291.55669348251155
19282,-291.55672188989286
19283,-291.55675029611115
19284,-291.5567787011663
19285,-291.55680710505794
19286,-291.556835507786
19287,-291.55686390935006
19288,-291.5568923097499
19289,-291.55692070898556
19290,-291.55694910705654
19291,-291.5569775039627
19292,-291.55700589970365
19293,-291.5570342942795
19294,-291.55706268768967
19295,-291.55709107993414
